Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2023-01-02,38.2599983215332,38.2599983215332,38.599998474121094,36.72999954223633,36.75,1018096,Covestro AG,1COV.DE
2023-01-03,39.58000183105469,39.58000183105469,40.02000045776367,38.15999984741211,38.2599983215332,1390072,Covestro AG,1COV.DE
2023-01-04,41.470001220703125,41.470001220703125,41.540000915527344,39.5,39.84000015258789,2064029,Covestro AG,1COV.DE
2023-01-05,41.709999084472656,41.709999084472656,42.4900016784668,41.119998931884766,41.5,1577307,Covestro AG,1COV.DE
2023-01-06,42.369998931884766,42.369998931884766,42.540000915527344,41.470001220703125,41.900001525878906,1421531,Covestro AG,1COV.DE
2023-01-09,42.849998474121094,42.849998474121094,43.209999084472656,42.529998779296875,42.59000015258789,845436,Covestro AG,1COV.DE
2023-01-10,41.79999923706055,41.79999923706055,42.599998474121094,41.150001525878906,42.599998474121094,1217615,Covestro AG,1COV.DE
2023-01-11,41.22999954223633,41.22999954223633,41.7599983215332,41.20000076293945,41.66999816894531,1910098,Covestro AG,1COV.DE
2023-01-12,40.4900016784668,40.4900016784668,41.75,40.16999816894531,41.7400016784668,1374507,Covestro AG,1COV.DE
2023-01-13,40.4900016784668,40.4900016784668,40.4900016784668,40.4900016784668,40.4900016784668,0,Covestro AG,1COV.DE
2023-01-16,41.09000015258789,41.09000015258789,41.380001068115234,38.31999969482422,38.619998931884766,2411539,Covestro AG,1COV.DE
2023-01-17,41.060001373291016,41.060001373291016,41.689998626708984,40.959999084472656,41.11000061035156,989973,Covestro AG,1COV.DE
2023-01-18,42.04999923706055,42.04999923706055,42.279998779296875,40.88999938964844,41.02000045776367,1278517,Covestro AG,1COV.DE
2023-01-19,40.709999084472656,40.709999084472656,42.0,40.709999084472656,41.70000076293945,1010301,Covestro AG,1COV.DE
2023-01-20,41.7400016784668,41.7400016784668,42.36000061035156,41.16999816894531,41.81999969482422,1604833,Covestro AG,1COV.DE
2023-01-23,42.189998626708984,42.189998626708984,42.220001220703125,41.59000015258789,41.849998474121094,917016,Covestro AG,1COV.DE
2023-01-24,42.63999938964844,42.63999938964844,42.939998626708984,42.119998931884766,42.43000030517578,1348808,Covestro AG,1COV.DE
2023-01-25,42.150001525878906,42.150001525878906,42.599998474121094,41.93000030517578,42.58000183105469,899664,Covestro AG,1COV.DE
2023-01-26,41.81999969482422,41.81999969482422,42.599998474121094,41.5,42.5,1196341,Covestro AG,1COV.DE
2023-01-27,41.81999969482422,41.81999969482422,41.81999969482422,41.81999969482422,41.81999969482422,0,Covestro AG,1COV.DE
2023-01-30,42.0,42.0,42.220001220703125,41.66999816894531,42.15999984741211,811017,Covestro AG,1COV.DE
2023-01-31,42.119998931884766,42.119998931884766,42.130001068115234,41.68000030517578,41.9900016784668,904176,Covestro AG,1COV.DE
2023-02-01,42.560001373291016,42.560001373291016,42.619998931884766,42.0099983215332,42.279998779296875,664725,Covestro AG,1COV.DE
2023-02-02,43.70000076293945,43.70000076293945,43.81999969482422,42.5099983215332,42.560001373291016,1269985,Covestro AG,1COV.DE
2023-02-03,44.06999969482422,44.06999969482422,44.099998474121094,43.40999984741211,43.54999923706055,880425,Covestro AG,1COV.DE
2023-02-06,42.83000183105469,42.83000183105469,44.06999969482422,42.47999954223633,44.06999969482422,965425,Covestro AG,1COV.DE
2023-02-07,42.720001220703125,42.720001220703125,43.02000045776367,42.400001525878906,43.0099983215332,743650,Covestro AG,1COV.DE
2023-02-08,42.52000045776367,42.52000045776367,43.650001525878906,42.45000076293945,43.130001068115234,1050717,Covestro AG,1COV.DE
2023-02-09,42.75,42.75,43.08000183105469,42.20000076293945,42.25,749625,Covestro AG,1COV.DE
2023-02-10,41.70000076293945,41.70000076293945,42.689998626708984,41.56999969482422,42.459999084472656,1123097,Covestro AG,1COV.DE
2023-02-13,41.25,41.25,41.810001373291016,41.189998626708984,41.68000030517578,813946,Covestro AG,1COV.DE
2023-02-14,41.63999938964844,41.63999938964844,41.79999923706055,41.04999923706055,41.52000045776367,847298,Covestro AG,1COV.DE
2023-02-15,42.25,42.25,42.75,41.61000061035156,41.7400016784668,896372,Covestro AG,1COV.DE
2023-02-16,42.54999923706055,42.54999923706055,42.720001220703125,41.84000015258789,42.439998626708984,908256,Covestro AG,1COV.DE
2023-02-17,42.040000915527344,42.040000915527344,42.38999938964844,41.630001068115234,42.20000076293945,1054145,Covestro AG,1COV.DE
2023-02-20,42.52000045776367,42.52000045776367,42.810001373291016,41.900001525878906,42.209999084472656,605023,Covestro AG,1COV.DE
2023-02-21,41.7400016784668,41.7400016784668,42.75,41.66999816894531,42.529998779296875,1085961,Covestro AG,1COV.DE
2023-02-22,41.18000030517578,41.18000030517578,41.70000076293945,40.529998779296875,41.4900016784668,1087857,Covestro AG,1COV.DE
2023-02-23,41.369998931884766,41.369998931884766,41.70000076293945,40.9900016784668,41.45000076293945,930793,Covestro AG,1COV.DE
2023-02-24,40.31999969482422,40.31999969482422,43.220001220703125,40.040000915527344,42.060001373291016,2266710,Covestro AG,1COV.DE
2023-02-27,40.959999084472656,40.959999084472656,41.59000015258789,40.529998779296875,40.529998779296875,1080928,Covestro AG,1COV.DE
2023-02-28,41.650001525878906,41.650001525878906,41.7400016784668,40.720001220703125,40.869998931884766,1530961,Covestro AG,1COV.DE
2023-03-01,41.459999084472656,41.459999084472656,42.060001373291016,41.060001373291016,41.83000183105469,1163931,Covestro AG,1COV.DE
2023-03-02,38.900001525878906,38.900001525878906,40.43000030517578,38.439998626708984,39.29999923706055,3347455,Covestro AG,1COV.DE
2023-03-03,40.290000915527344,40.290000915527344,40.709999084472656,39.040000915527344,39.040000915527344,1648508,Covestro AG,1COV.DE
2023-03-06,38.97999954223633,38.97999954223633,40.060001373291016,38.939998626708984,39.79999923706055,11244908,Covestro AG,1COV.DE
2023-03-07,39.619998931884766,39.619998931884766,40.08000183105469,39.11000061035156,39.400001525878906,2015115,Covestro AG,1COV.DE
2023-03-08,39.970001220703125,39.970001220703125,40.08000183105469,38.900001525878906,39.36000061035156,1125639,Covestro AG,1COV.DE
2023-03-09,39.709999084472656,39.709999084472656,40.220001220703125,39.2400016784668,39.900001525878906,858603,Covestro AG,1COV.DE
